Industry,ESG Score Range,Count,Total,Percentage
Automobiles,0-1,3,17,17.647058823529413
Automobiles,1-2,2,17,11.76470588235294
Automobiles,2-3,3,17,17.647058823529413
Automobiles,3-4,7,17,41.17647058823529
Automobiles,4-5,0,17,0.0
Automobiles,5-6,1,17,5.88235294117647
Automobiles,6-7,1,17,5.88235294117647
Automobiles,7-8,0,17,0.0
Automobiles,8-9,0,17,0.0
Automobiles,9-10,0,17,0.0
Semiconductors,0-1,2,331,0.6042296072507553
Semiconductors,1-2,28,331,8.459214501510575
Semiconductors,2-3,87,331,26.283987915407852
Semiconductors,3-4,65,331,19.637462235649547
Semiconductors,4-5,80,331,24.169184290030213
Semiconductors,5-6,47,331,14.19939577039275
Semiconductors,6-7,18,331,5.438066465256798
Semiconductors,7-8,4,331,1.2084592145015105
Semiconductors,8-9,0,331,0.0
Semiconductors,9-10,0,331,0.0
